Sub-menu name,Track name,Race date,Race number,Number of Starters,Post Time,Distance,Class,Prize Money
,Sunshine Coast Form Guide,2025-08-03,4,12,12:28,5 f,MDN,"$19,350"
,Sunshine Coast Form Guide,2025-08-03,5,11,13:07,1 m,BM58,"$18,060"
,Sunshine Coast Form Guide,2025-08-03,6,12,13:44,1 m,BM58,"$18,060"
,Sunshine Coast Form Guide,2025-08-03,7,10,14:19,1 ⅛ m,3U CL3,"$18,060"
,Sunshine Coast Form Guide,2025-08-03,8,12,14:55,5 f,CL1,"$18,060"
,Kalgoorlie Form Guide,2025-08-03,1,6,13:11,1 m,3U BM58+,"$15,480"
,Kalgoorlie Form Guide,2025-08-03,2,5,13:48,5 ½ f,3U BM70+,"$15,480"
,Kalgoorlie Form Guide,2025-08-03,3,7,14:23,5 ½ f,3U BM58+,"$15,480"
,Kalgoorlie Form Guide,2025-08-03,4,7,14:59,7 f,3U CL1,"$15,480"
,Kalgoorlie Form Guide,2025-08-03,5,7,15:35,6 ½ f,3U MDN,"$12,900"
,Kalgoorlie Form Guide,2025-08-03,6,9,16:10,6 ½ f,3U CL2,"$15,480"
,Kalgoorlie Form Guide,2025-08-03,7,10,16:45,5 ½ f,3U CL2,"$15,480"
,Darwin Form Guide,2025-08-04,1,8,22:21,6 f,BM0-70,"$19,995"
,Darwin Form Guide,2025-08-04,2,12,22:53,6 f,BM0-58,"$19,995"
,Darwin Form Guide,2025-08-04,3,8,23:25,5 ½ f,BM0-66,"$19,995"
,Darwin Form Guide,2025-08-04,4,4,12:05,5 f,OPEN,"$22,575"
,Darwin Form Guide,2025-08-04,5,12,12:40,1 m,BM0-58,"$19,995"
,Darwin Form Guide,2025-08-04,6,9,13:20,1 m,BMNT,"$19,995"
,Darwin Form Guide,2025-08-04,7,8,13:55,6 ½ f,BMNT,"$32,250"
,Darwin Form Guide,2025-08-04,8,11,14:35,6 ½ f,BM0-62,"$19,995"
,Darwin Form Guide,2025-08-04,9,11,15:13,1 ¼ m,BM0-70,"$19,995"
,Darwin Form Guide,2025-08-04,10,12,16:00,1 ¼ m,OPEN,"$129,000"
,Wagga Riverside Form Guide,2025-08-04,1,7,23:10,1 m,CL1,"$17,415"
,Wagga Riverside Form Guide,2025-08-04,2,11,23:45,6 f,MDN,"$17,415"
,Wagga Riverside Form Guide,2025-08-04,3,7,12:25,5 ¼ f,MDN,"$19,350"
,Wagga Riverside Form Guide,2025-08-04,4,9,13:05,5 ¼ f,BM58,"$17,415"
,Wagga Riverside Form Guide,2025-08-04,5,12,13:40,5 ¼ f,CL1,"$19,350"
,Wagga Riverside Form Guide,2025-08-04,6,12,14:15,6 f,BM58,"$17,415"
,Wagga Riverside Form Guide,2025-08-04,7,11,14:50,1 ⅛ m,BM58,"$17,415"
,Moruya Form Guide,2025-08-05,1,7,23:05,5 f,MDN,"$17,415"
,Moruya Form Guide,2025-08-05,2,9,23:40,6 ½ f,MDN,"$17,415"
,Moruya Form Guide,2025-08-05,3,10,12:15,5 f,CL2,"$17,415"
,Moruya Form Guide,2025-08-05,4,9,12:55,6 f,BM58,"$17,415"
,Moruya Form Guide,2025-08-05,5,11,13:35,7 f,MDN,"$19,350"
,Moruya Form Guide,2025-08-05,6,11,14:10,7 f,BM66,"$19,350"
,Moruya Form Guide,2025-08-05,7,12,14:45,1 m,BM58,"$17,415"
,Rockhampton Form Guide,2025-08-05,1,8,23:20,6 f,3 MDN,"$14,835"
,Rockhampton Form Guide,2025-08-05,2,11,23:55,5 ¼ f,MDN,"$14,835"
,Rockhampton Form Guide,2025-08-05,3,8,12:35,5 ½ f,OPEN,"$13,545"
,Rockhampton Form Guide,2025-08-05,4,7,13:10,7 f,3U CL6,"$13,545"
,Rockhampton Form Guide,2025-08-05,5,9,13:50,6 ½ f,BM60,"$13,545"
,Rockhampton Form Guide,2025-08-05,6,8,14:25,5 ½ f,CL1,"$13,545"
,Rockhampton Form Guide,2025-08-05,7,12,15:00,7 ½ f,BM0-55,"$13,545"
,Doomben Form Guide,2025-08-06,1,7,22:35,6 f,MDN,"$25,800"
,Doomben Form Guide,2025-08-06,2,9,23:08,1 m,MDN,"$25,800"
,Doomben Form Guide,2025-08-06,3,8,23:43,1 ¼ m,CL3,"$24,510"
,Doomben Form Guide,2025-08-06,4,7,12:18,6 ¾ f,CL5,"$24,510"
,Doomben Form Guide,2025-08-06,5,9,12:53,6 ¾ f,3 MDN,"$25,800"
,Doomben Form Guide,2025-08-06,6,10,13:28,5 ½ f,BM65,"$24,510"
,Doomben Form Guide,2025-08-06,7,11,14:03,6 ¾ f,CL1,"$24,510"
,Doomben Form Guide,2025-08-06,8,11,14:38,1 m,BM68,"$24,510"
,Canterbury Form Guide,2025-08-06,1,7,22:50,6 f,3U MDN,"$64,500"
,Canterbury Form Guide,2025-08-06,2,7,23:25,7 ¾ f,34 BM64,"$38,700"
,Canterbury Form Guide,2025-08-06,3,8,12:00,5 ½ f,3UFM BM64,"$38,700"
,Canterbury Form Guide,2025-08-06,4,7,12:35,5 ½ f,3UCG BM64,"$38,700"
,Canterbury Form Guide,2025-08-06,5,9,13:10,7 ¾ f,5U BM72,"$38,700"
,Canterbury Form Guide,2025-08-06,6,7,13:45,6 ¼ f,5U BM72,"$38,700"
,Canterbury Form Guide,2025-08-06,7,6,14:20,1 ³⁄₁₆ m,3U BM72,"$38,700"
,Warwick Form Guide,2025-08-06,1,6,22:55,6 ¾ f,3 MDN,"$14,190"
,Warwick Form Guide,2025-08-06,2,8,23:32,4 f,BM70,"$12,900"
,Warwick Form Guide,2025-08-06,3,10,12:07,4 f,3U CL1,"$12,900"
,Warwick Form Guide,2025-08-06,4,9,12:39,7 ½ f,BM65,"$12,900"
,Warwick Form Guide,2025-08-06,5,14,13:14,5 ½ f,BM0-58,"$12,900"
,Warwick Form Guide,2025-08-06,6,14,13:49,6 ¾ f,BM0-58,"$12,900"
,Warwick Form Guide,2025-08-06,7,14,14:24,7 ½ f,BM55,"$12,900"
,Belmont Park Form Guide,2025-08-06,1,8,13:04,5 f,3U CL1,"$19,350"
,Belmont Park Form Guide,2025-08-06,2,10,13:39,7 f,3 NMW1Y,"$22,575"
,Belmont Park Form Guide,2025-08-06,3,10,14:14,6 f,3U MDN,"$16,125"
,Belmont Park Form Guide,2025-08-06,4,14,14:52,6 f,3U MDN,"$16,125"
,Belmont Park Form Guide,2025-08-06,5,10,15:25,5 f,3U NMW1Y,"$22,575"
,Belmont Park Form Guide,2025-08-06,6,14,16:00,1 m,3U CL1,"$19,350"
,Belmont Park Form Guide,2025-08-06,7,9,16:35,6 ½ f,3UCG CL3,"$19,350"
,Tamworth Form Guide,2025-08-07,1,8,21:45,7 f,MDN,"$19,350"
,Tamworth Form Guide,2025-08-07,2,10,22:20,5 f,MDN,"$17,415"
,Tamworth Form Guide,2025-08-07,3,10,22:55,6 f,MDN,"$17,415"
,Tamworth Form Guide,2025-08-07,4,11,23:35,1 m,CL1,"$17,415"
,Tamworth Form Guide,2025-08-07,5,9,12:10,1 m,CL1,"$17,415"
,Tamworth Form Guide,2025-08-07,6,12,12:45,7 f,BM58,"$19,350"
,Tamworth Form Guide,2025-08-07,7,12,13:20,6 f,BM66,"$17,415"
,Tamworth Form Guide,2025-08-07,8,11,13:55,6 f,BM58,"$17,415"
,Tamworth Form Guide,2025-08-07,9,12,14:35,5 f,CL3,"$17,415"
,Mt Isa Form Guide,2025-08-07,1,8,22:42,7 ¼ f,BM0-50,"$9,675"
,Mt Isa Form Guide,2025-08-07,2,6,23:17,7 ¼ f,3U CL6,"$9,675"
,Mt Isa Form Guide,2025-08-07,3,6,23:57,5 ½ f,3U MDN,"$10,965"
,Mt Isa Form Guide,2025-08-07,4,6,12:34,6 f,OPEN,"$9,675"
,Mt Isa Form Guide,2025-08-07,5,8,13:12,5 f,3U CL3,"$9,675"
,Mt Isa Form Guide,2025-08-07,6,10,13:47,6 f,CL1,"$9,675"
,Mt Isa Form Guide,2025-08-07,7,10,14:22,6 f,BM0-60,"$9,675"
,Northam Form Guide,2025-08-07,1,11,13:27,5 ½ f,3 MDN,"$16,125"
,Northam Form Guide,2025-08-07,2,12,14:04,5 f,3U MDN,"$16,125"
,Northam Form Guide,2025-08-07,3,8,14:42,5 f,3U CL3,"$19,350"
,Northam Form Guide,2025-08-07,4,12,15:18,1 m,3U MDN,"$16,125"
,Northam Form Guide,2025-08-07,5,10,15:57,6 ½ f,3U MDN,"$16,125"
,Northam Form Guide,2025-08-07,6,8,16:35,6 ½ f,3U CL1,"$19,350"
,Port Macquarie Form Guide,2025-08-08,1,12,22:35,5 ½ f,MDN,"$19,350"
,Port Macquarie Form Guide,2025-08-08,2,13,23:10,1 ⅛ m,BM58,"$17,415"
,Port Macquarie Form Guide,2025-08-08,3,9,23:45,7 ½ f,CL3,"$19,350"
,Port Macquarie Form Guide,2025-08-08,4,14,12:20,7 ½ f,MDN,"$17,415"
,Port Macquarie Form Guide,2025-08-08,5,14,12:55,6 f,MDN,"$17,415"
,Port Macquarie Form Guide,2025-08-08,6,11,13:30,6 f,FM BM58,"$17,415"
,Port Macquarie Form Guide,2025-08-08,7,14,14:10,6 f,CG BM58,"$17,415"
,Port Macquarie Form Guide,2025-08-08,8,8,14:50,5 f,BM66,"$17,415"
,Ipswich Form Guide,2025-08-08,1,6,22:49,1 m,CL4,"$18,060"
,Ipswich Form Guide,2025-08-08,2,10,23:24,1 ⁵⁄₁₆ m,MDN,"$19,350"
,Ipswich Form Guide,2025-08-08,3,13,23:59,6 ¾ f,MDN,"$19,350"
,Ipswich Form Guide,2025-08-08,4,10,12:34,6 ¾ f,34 BM65,"$18,060"
,Ipswich Form Guide,2025-08-08,5,9,13:09,5 ½ f,BM62,"$18,060"
,Ipswich Form Guide,2025-08-08,6,10,13:44,6 ¾ f,BM62,"$18,060"
,Ipswich Form Guide,2025-08-08,7,9,14:24,6 f,3U CL2,"$18,060"
,Canberra Acton Form Guide,2025-08-08,1,8,22:56,1 ³⁄₁₆ m,CL1,"$14,190"
,Canberra Acton Form Guide,2025-08-08,2,10,23:31,5 ¼ f,4U BM50,"$10,320"
,Canberra Acton Form Guide,2025-08-08,3,8,12:06,5 ¼ f,MDN,"$14,190"
,Canberra Acton Form Guide,2025-08-08,4,8,12:41,6 ¼ f,MDN,"$14,190"
,Canberra Acton Form Guide,2025-08-08,5,9,13:16,6 ¼ f,OPEN,"$19,350"
,Canberra Acton Form Guide,2025-08-08,6,11,13:53,1 ¹⁄₁₆ m,BM70,"$14,190"
,Canberra Acton Form Guide,2025-08-08,7,8,14:33,6 f,BM60,"$14,190"
,Eagle Farm Form Guide | Today,2025-08-09,1,5,21:38,1 m,BM85,"$54,825"
,Eagle Farm Form Guide | Today,2025-08-09,2,7,22:13,7 f,3U CL3,"$48,375"
,Eagle Farm Form Guide | Today,2025-08-09,3,10,22:48,6 f,BM70,"$48,375"
,Eagle Farm Form Guide | Today,2025-08-09,4,8,23:23,7 f,BM78,"$54,825"
,Eagle Farm Form Guide | Today,2025-08-09,5,11,23:58,1 ½ m,BM78,"$54,825"
,Eagle Farm Form Guide | Today,2025-08-09,6,9,12:33,5 f,3 OPEN,"$54,825"
,Eagle Farm Form Guide | Today,2025-08-09,7,9,13:12,7 f,OPEN,"$54,825"
,Eagle Farm Form Guide | Today,2025-08-09,8,12,13:48,6 f,NMW,"$54,825"
,Eagle Farm Form Guide | Today,2025-08-09,9,10,14:27,5 f,BM78,"$54,825"
,Newcastle Form Guide | Today,2025-08-09,1,11,22:40,4 ½ f,MDN,"$38,700"
,Newcastle Form Guide | Today,2025-08-09,2,5,23:15,6 ¼ f,CG MDN,"$27,090"
,Newcastle Form Guide | Today,2025-08-09,3,7,23:50,6 ¼ f,FM MDN,"$27,090"
,Newcastle Form Guide | Today,2025-08-09,4,8,12:25,7 f,MDN,"$29,025"
,Newcastle Form Guide | Today,2025-08-09,5,5,13:00,6 f,BM68,"$29,025"
,Newcastle Form Guide | Today,2025-08-09,6,8,13:40,1 ⅛ m,3U BM64,"$27,090"
,Newcastle Form Guide | Today,2025-08-09,7,6,14:15,7 f,CG BM64,"$27,090"
,Newcastle Form Guide | Today,2025-08-09,8,5,14:55,7 f,FM BM64,"$27,090"
,Gold Coast Poly,2025-08-09,1,7,23:35,1 ³⁄₁₆ m,BM60,"$18,060"
,Gold Coast Poly,2025-08-09,2,7,12:10,7 ½ f,BM68,"$18,060"
,Gold Coast Poly,2025-08-09,3,12,12:45,7 ½ f,MDN,"$19,350"
,Gold Coast Poly,2025-08-09,4,9,13:25,6 f,BM65,"$18,060"
,Gold Coast Poly,2025-08-09,5,12,14:00,5 ½ f,BM55,"$18,060"
,Gold Coast Poly,2025-08-09,6,12,14:40,7 ½ f,BM55,"$18,060"
,Pinjarra Form Guide | Today,2025-08-09,1,7,13:04,5 f,3 OPEN,"$51,600"
,Pinjarra Form Guide | Today,2025-08-09,2,10,13:44,1 m,4U NMW1Y,"$25,800"
,Pinjarra Form Guide | Today,2025-08-09,3,9,14:19,1 m,3U BM72+,"$51,600"
,Pinjarra Form Guide | Today,2025-08-09,4,10,15:00,1 ¼ m,3U 1MW,"$38,700"
,Pinjarra Form Guide | Today,2025-08-09,5,10,15:35,5 f,3U BM66+,"$51,600"
,Pinjarra Form Guide | Today,2025-08-09,6,11,16:10,7 f,3U 1MW,"$38,700"
,Pinjarra Form Guide | Today,2025-08-09,7,9,16:45,6 f,3U OPEN LR,"$80,625"
,Sunshine Coast Form Guide,2025-08-10,1,10,22:20,6 f,MDN,"$19,350"
,Sunshine Coast Form Guide,2025-08-10,2,9,22:57,6 f,CL5,"$18,060"
,Sunshine Coast Form Guide,2025-08-10,3,12,23:37,1 m,MDN,"$19,350"
,Sunshine Coast Form Guide,2025-08-10,4,9,12:17,1 m,CL1,"$18,060"
,Sunshine Coast Form Guide,2025-08-10,5,9,12:57,5 f,CL2,"$18,060"
,Sunshine Coast Form Guide,2025-08-10,6,17,13:34,6 f,BM0-58,"$18,060"
,Sunshine Coast Form Guide,2025-08-10,7,15,14:10,7 f,3U CL2,"$18,060"
,Sunshine Coast Form Guide,2025-08-10,8,15,14:45,1 ⅛ m,BM58,"$18,060"
,Hobart Form Guide,2025-08-10,1,9,22:25,1 m,3U MDN,"$16,125"
,Hobart Form Guide,2025-08-10,2,13,23:01,5 ½ f,3U MDN,"$16,125"
,Hobart Form Guide,2025-08-10,3,9,23:41,5 ½ f,CL2,"$17,415"
,Hobart Form Guide,2025-08-10,4,12,12:21,6 f,CL1,"$16,770"
,Hobart Form Guide,2025-08-10,5,10,13:01,1 m,CL2,"$17,415"
,Hobart Form Guide,2025-08-10,6,9,13:39,6 ¾ f,CL6,"$19,350"
,Hobart Form Guide,2025-08-10,7,8,14:15,5 f,BM72,"$17,415"
,Hobart Form Guide,2025-08-10,8,7,14:50,1 ⅜ m,BM68,"$16,125"
,Dubbo Form Guide,2025-08-10,1,18,22:45,6 ½ f,3U MDN,"$19,350"
,Dubbo Form Guide,2025-08-10,2,13,23:25,1 m,BM58,"$17,415"
,Dubbo Form Guide,2025-08-10,3,17,12:05,5 ½ f,MDN,"$32,250"
,Dubbo Form Guide,2025-08-10,4,9,12:45,7 f,OPEN,"$17,415"
,Dubbo Form Guide,2025-08-10,5,18,13:25,7 f,CL2,"$17,415"
,Dubbo Form Guide,2025-08-10,6,10,14:00,5 ½ f,OPEN,"$17,415"
,Dubbo Form Guide,2025-08-10,7,16,14:35,5 ½ f,BM58,"$19,350"
,Dubbo Form Guide,2025-08-10,8,16,15:10,5 ½ f,BM58,"$19,350"
,Wagga Form Guide,2025-08-10,1,5,23:06,1 ⁹⁄₁₆ m,OPEN,"$20,640"
,Wagga Form Guide,2025-08-10,2,9,23:46,7 f,MDN,"$19,350"
,Wagga Form Guide,2025-08-10,3,11,12:26,6 f,MDN,"$17,415"
,Wagga Form Guide,2025-08-10,4,12,13:06,1 m,CL1,"$17,415"
,Wagga Form Guide,2025-08-10,5,9,13:46,5 f,BM82,"$17,415"
,Wagga Form Guide,2025-08-10,6,16,14:20,6 ½ f,CL1,"$17,415"
,Wagga Form Guide,2025-08-10,7,14,14:55,6 f,BM58,"$19,350"
,Kalgoorlie Form Guide,2025-08-10,1,9,13:17,5 ½ f,3U MDN,"$12,900"
,Kalgoorlie Form Guide,2025-08-10,2,11,13:55,7 f,3U MDN,"$12,900"
,Kalgoorlie Form Guide,2025-08-10,3,8,14:30,1 ⁵⁄₁₆ m,3U BM64+,"$15,480"
,Kalgoorlie Form Guide,2025-08-10,4,10,15:05,1 ¹⁄₁₆ m,3U CL2,"$15,480"
,Kalgoorlie Form Guide,2025-08-10,5,11,15:40,7 f,3U BM58+,"$15,480"
,Kalgoorlie Form Guide,2025-08-10,6,12,16:20,7 f,3U OPEN,"$19,350"
,Kalgoorlie Form Guide,2025-08-10,7,16,16:54,6 f,3U CL2,"$15,480"
,Lismore Form Guide,2025-08-11,1,11,22:50,1 ⁵⁄₁₆ m,BM58,"$17,415"
,Lismore Form Guide,2025-08-11,2,8,23:25,7 ½ f,BM66,"$17,415"
,Lismore Form Guide,2025-08-11,3,11,12:05,6 ½ f,BM58,"$19,350"
,Lismore Form Guide,2025-08-11,4,17,12:40,5 ½ f,MDN,"$19,350"
,Lismore Form Guide,2025-08-11,5,11,13:15,5 ½ f,BM66,"$17,415"
,Lismore Form Guide,2025-08-11,6,19,13:50,6 ½ f,MDN,"$17,415"
,Lismore Form Guide,2025-08-11,7,14,14:25,7 f,CL1,"$17,415"
,Goulburn Form Guide,2025-08-11,1,9,23:05,5 ½ f,MDN,"$17,415"
,Goulburn Form Guide,2025-08-11,2,11,23:40,6 f,MDN,"$19,350"
,Goulburn Form Guide,2025-08-11,3,9,12:20,6 f,CL3,"$17,415"
,Goulburn Form Guide,2025-08-11,4,12,12:55,5 ½ f,BM58,"$19,350"
,Goulburn Form Guide,2025-08-11,5,10,13:35,7 ½ f,MDN,"$17,415"
,Goulburn Form Guide,2025-08-11,6,14,14:10,1 m,BM58,"$17,415"
,Goulburn Form Guide,2025-08-11,7,15,14:45,7 f,CL2,"$17,415"
,Mackay Form Guide,2025-08-12,1,11,22:52,6 ½ f,MDN,"$14,835"
,Mackay Form Guide,2025-08-12,2,9,23:27,6 ½ f,BM0-55,"$13,545"
,Mackay Form Guide,2025-08-12,3,8,12:04,6 ½ f,BM70,"$13,545"
,Mackay Form Guide,2025-08-12,4,10,12:42,7 ¾ f,CL3,"$13,545"
,Mackay Form Guide,2025-08-12,5,17,13:17,5 ½ f,BM55,"$13,545"
,Mackay Form Guide,2025-08-12,6,11,13:57,6 f,OPEN,"$13,545"
,Mackay Form Guide,2025-08-12,7,12,14:34,1 ⅛ m,BM60,"$13,545"
,Muswellbrook Form Guide,2025-08-12,1,9,23:05,7 ½ f,BM66,"$17,415"
,Muswellbrook Form Guide,2025-08-12,2,11,23:40,7 ½ f,MDN,"$17,415"
,Muswellbrook Form Guide,2025-08-12,3,12,12:15,6 ¼ f,MDN,"$19,350"
,Muswellbrook Form Guide,2025-08-12,4,16,12:55,5 f,MDN,"$17,415"
,Muswellbrook Form Guide,2025-08-12,5,13,13:35,5 f,CL1,"$19,350"
,Muswellbrook Form Guide,2025-08-12,6,13,14:10,5 f,BM74,"$17,415"
,Muswellbrook Form Guide,2025-08-12,7,14,14:45,6 ¼ f,FM BM66,"$17,415"
,Hawkesbury Form Guide,2025-08-12,1,16,23:20,6 ½ f,4U MDN,"$27,090"
,Hawkesbury Form Guide,2025-08-12,2,15,23:55,5 ½ f,MDN,"$27,090"
,Hawkesbury Form Guide,2025-08-12,3,9,12:35,7 ½ f,CL1,"$27,090"
,Hawkesbury Form Guide,2025-08-12,4,16,13:10,7 ½ f,MDN,"$27,090"
,Hawkesbury Form Guide,2025-08-12,5,12,13:50,5 ½ f,CL1,"$27,090"
,Hawkesbury Form Guide,2025-08-12,6,12,14:25,6 ½ f,CL1,"$29,025"
,Hawkesbury Form Guide,2025-08-12,7,12,15:00,1 ⅛ m,3U BM64,"$29,025"
,Broome Form Guide,2025-08-12,1,8,13:45,5 f,2U CL2,"$12,900"
,Broome Form Guide,2025-08-12,2,9,14:21,5 ½ f,2U BM58+,"$13,867"
,Broome Form Guide,2025-08-12,3,10,15:05,7 f,2U CL2,"$12,900"
,Broome Form Guide,2025-08-12,4,10,15:40,6 ½ f,2UFM BM58+,"$12,900"
,Broome Form Guide,2025-08-12,5,11,16:20,6 ½ f,2U OPEN,"$25,800"
,Broome Form Guide,2025-08-12,6,10,17:00,6 ½ f,2U BM50+,"$12,900"
,Riccarton Park Form Guide,2025-08-02,1,8,19:20,1 ¹⁵⁄₁₆ m,MHDL,"$17,752"
,Riccarton Park Form Guide,2025-08-02,2,8,19:55,1 ¹⁵⁄₁₆ m,OHDL,"$29,587"
,Riccarton Park Form Guide,2025-08-02,3,7,20:28,6 f,3 SWP,"$20,710"
,Riccarton Park Form Guide,2025-08-02,4,8,21:00,6 f,OPEN,"$26,628"
,Riccarton Park Form Guide,2025-08-02,5,9,21:39,2 ⅝ m,OSTPL,"$29,587"
,Riccarton Park Form Guide,2025-08-02,6,15,22:23,6 f,BM65,"$20,710"
,Riccarton Park Form Guide,2025-08-02,7,7,22:57,7 f,BM75,"$20,710"
,Riccarton Park Form Guide,2025-08-02,8,17,23:32,1 m,BM65,"$20,710"
,Riccarton Park Form Guide,2025-08-02,9,16,12:07,1 m,CUP G3,"$65,091"
,Riccarton Park Form Guide,2025-08-02,10,13,12:41,1 ⅛ m,BM75,"$20,710"
,Ruakaka Form Guide,2025-08-02,1,7,20:45,5 ½ f,3 SWP,"$20,710"
,Ruakaka Form Guide,2025-08-02,2,12,21:18,6 f,MDN,"$11,835"
,Ruakaka Form Guide,2025-08-02,3,10,21:54,6 ½ f,BM65,"$20,710"
,Ruakaka Form Guide,2025-08-02,4,10,22:30,6 ½ f,BM65,"$20,710"
,Ruakaka Form Guide,2025-08-02,5,13,23:05,1 m,MDN,"$11,835"
,Ruakaka Form Guide,2025-08-02,6,7,23:40,1 m,BM75,"$20,710"
,Ruakaka Form Guide,2025-08-02,7,11,12:25,1 ⁵⁄₁₆ m,BM65,"$20,710"
,Cambridge Form Guide,2025-08-08,1,5,20:55,7 ¾ f,BM67,"$10,059"
,Cambridge Form Guide,2025-08-08,2,11,21:30,7 ¾ f,MDN,"$10,059"
,Cambridge Form Guide,2025-08-08,3,7,22:03,6 ½ f,BM64,"$10,059"
,Cambridge Form Guide,2025-08-08,4,10,22:39,6 ½ f,MDN,"$10,059"
,Cambridge Form Guide,2025-08-08,5,7,23:15,4 ¾ f,BM67,"$10,059"
,Cambridge Form Guide,2025-08-08,6,10,23:47,1 ¼ m,BM70,"$14,793"
,Cambridge Form Guide,2025-08-08,7,12,12:19,1 ¼ m,SWP,"$59,174"
